name	chrom	start	end	score	strand	NMid	gene_name	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study	mm9_name	mm39ID
mmu_circ_0000001	chr1	5194499	5214074	0	+	NM_133826	Atp6v1h	19575	600	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_133826	Atp6v1h	Memczak2013	mm9_circ_018088	chr1:5194499-5214074
mmu_circ_0000002	chr1	8484426	8518356	0	-	NM_027671	Sntg1	33930	357	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_001517	chr1:8484426-8518356
mmu_circ_0000003	chr1	8515250	8518356	0	-	NM_027671	Sntg1	3106	246	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_004634	chr1:8515250-8518356
mmu_circ_0000004	chr1	8624948	8695105	0	-	NM_027671	Sntg1	70157	486	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_009692	chr1:8624948-8695105
mmu_circ_0000005	chr1	8653428	8677376	0	-	NM_027671	Sntg1	23948	344	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_016623	chr1:8653428-8677376
mmu_circ_0000006	chr1	8653428	8695105	0	-	NM_027671	Sntg1	41677	447	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_000174	chr1:8653428-8695105
mmu_circ_0000007	chr1	8677293	8695105	0	-	NM_027671	Sntg1	17812	186	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_027671	Sntg1	Memczak2013	mm9_circ_010744	chr1:8677293-8695105
mmu_circ_0000008	chr1	10145084	10156177	0	+	NM_026493	Cspp1	11093	516	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_026493	Cspp1	Memczak2013	mm9_circ_014962	chr1:10145084-10156177
mmu_circ_0000009	chr1	12929101	12929161	0	+	NM_001198565	Sulf1	60	60	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_001198565	Sulf1	Memczak2013	mm9_circ_013216	chr1:12929101-12929161
mmu_circ_0000010	chr1	13291530	13294937	0	-	NM_001077695	Ncoa2	3407	278	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001077695	Ncoa2	Memczak2013	mm9_circ_016598	chr1:13291530-13294937
mmu_circ_0000011	chr1	13291530	13356249	0	-	NM_001077695	Ncoa2	64719	335	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001077695	Ncoa2	Memczak2013	mm9_circ_015350	chr1:13291530-13356249
mmu_circ_0000012	chr1	16510546	16533418	0	-	NM_025303	Stau2	22872	296	mm_ES, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_025303	Stau2	Memczak2013	mm9_circ_000040	chr1:16510546-16533418
mmu_circ_0000013	chr1	16510546	16579632	0	-	NM_025303	Stau2	69086	494	mm_head, mm_brain1, mm_brain2, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_025303	Stau2	Memczak2013, Wang2012	mm9_circ_006026	chr1:16510546-16579632
mmu_circ_0000014	chr1	16533258	16579632	0	-	NM_025303	Stau2	46374	358	mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_025303	Stau2	Memczak2013	mm9_circ_005382	chr1:16533258-16579632
mmu_circ_0000015	chr1	19189053	19218641	0	+	NM_153154	Tfap2d	29588	541	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_153154	Tfap2d	Memczak2013	mm9_circ_012020	chr1:19189053-19218641
mmu_circ_0000016	chr1	22416516	22449764	0	-	NM_001012623	Rims1	33248	516	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001012623	Rims1	Memczak2013	mm9_circ_007113	chr1:22416516-22449764
mmu_circ_0000017	chr1	22416516	22464172	0	-	NM_001012623	Rims1	47656	14924	mm_brain1, mm_brain2	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic	NM_001012623	Rims1	Memczak2013	mm9_circ_003161	chr1:22416516-22464172
mmu_circ_0000018	chr1	22416516	22467787	0	-	NM_183018	Rims1	51271	629	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_183018	Rims1	Memczak2013	mm9_circ_014781	chr1:22416516-22467787
mmu_circ_0000019	chr1	24547264	24614540	0	-	NM_007733	Col19a1	67276	1053	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_007733	Col19a1	Memczak2013	mm9_circ_015335	chr1:24547264-24614540
mmu_circ_0000020	chr1	25165721	25170482	0	-	NM_175642	Bai3	4761	288	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175642	Bai3	Memczak2013	mm9_circ_002776	chr1:25165721-25170482
mmu_circ_0000021	chr1	25260840	25267628	0	-	NM_175642	Bai3	6788	334	mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175642	Bai3	Memczak2013	mm9_circ_008757	chr1:25260840-25267628
mmu_circ_0000022	chr1	25435516	25471657	0	-	NM_175642	Bai3	36141	373	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175642	Bai3	Memczak2013	mm9_circ_001531	chr1:25435516-25471657
mmu_circ_0000023	chr1	30902067	30902336	0	-	NM_001081080	Phf3	269	269	mm_head	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, UTR5	NM_001081080	Phf3	Memczak2013	mm9_circ_000730	chr1:30902067-30902336
mmu_circ_0000024	chr1	34125322	34156605	0	+	NM_133833	Dst	31283	323	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_133833	Dst	Memczak2013	mm9_circ_008397	chr1:34125322-34156605
mmu_circ_0000025	chr1	36182599	36182681	0	-	NM_198899	Uggt1	82	82	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_198899	Uggt1	Memczak2013	mm9_circ_010546	chr1:36182599-36182681
mmu_circ_0000026	chr1	36893924	36928406	0	-	NM_018872	Tmem131	34482	296	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_018872	Tmem131	Memczak2013	mm9_circ_004548	chr1:36893924-36928406
mmu_circ_0000027	chr1	37529340	37537821	0	-	NM_173870	Mgat4a	8481	443	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_173870	Mgat4a	Memczak2013	mm9_circ_005108	chr1:37529340-37537821
mmu_circ_0000028	chr1	38092696	38124733	0	-	NM_019570	Rev1	32037	2431	mm_ES, mm_brain2, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_019570	Rev1	Memczak2013, Wang2012	mm9_circ_016062	chr1:38092696-38124733
mmu_circ_0000029	chr1	38146648	38147548	0	-	NM_019570	Rev1	900	191	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_019570	Rev1	Memczak2013	mm9_circ_012324	chr1:38146648-38147548
mmu_circ_0000030	chr1	38573986	38578082	0	-	NM_010678	Aff3	4096	2875	mm_head, mm_brain1, mm_brain2	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic	NM_010678	Aff3	Memczak2013	mm9_circ_009331	chr1:38573986-38578082
mmu_circ_0000031	chr1	39290030	39302456	0	+	NM_008719	Npas2	12426	12426	mm_head, mm_brain1	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, UTR5	NM_008719	Npas2	Memczak2013	mm9_circ_006318	chr1:39290030-39302456
mmu_circ_0000032	chr1	39302399	39339814	0	+	NM_008719	Npas2	37415	388	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_008719	Npas2	Memczak2013	mm9_circ_003043	chr1:39302399-39339814
mmu_circ_0000033	chr1	44793502	44827702	0	+	NM_028450	Gulp1	34200	681	mm_ES, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_028450	Gulp1	Memczak2013	mm9_circ_008807	chr1:44793502-44827702
mmu_circ_0000034	chr1	45377117	45377787	0	+	NM_009930	Col3a1	670	108	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_009930	Col3a1	Memczak2013	mm9_circ_018777	chr1:45377117-45377787
mmu_circ_0000035	chr1	45384115	45384214	0	-	NM_009930	Col3a1	99	99	mm_head	None	ANTISENSE, CDS, coding, INTERNAL	NM_009930	Col3a1	Memczak2013	mm9_circ_017967	chr1:45384115-45384214
mmu_circ_0000036	chr1	51852161	51873702	0	-	NM_010863	Myo1b	21541	311	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_010863	Myo1b	Memczak2013	mm9_circ_008958	chr1:51852161-51873702
mmu_circ_0000037	chr1	52747322	52748914	0	-	NM_178081	Mfsd6	1592	1592	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_178081	Mfsd6	Memczak2013	mm9_circ_009434	chr1:52747322-52748914
mmu_circ_0000038	chr1	53295787	53321251	0	-	NM_153556	Pms1	25464	602	mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_153556	Pms1	Memczak2013, Wang2012	mm9_circ_001535	chr1:53295787-53321251
mmu_circ_0000039	chr1	53295787	53329582	0	-	NM_153556	Pms1	33795	8933	mm_head, mm_brain1	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, UTR5	NM_153556	Pms1	Memczak2013	mm9_circ_005547	chr1:53295787-53329582
mmu_circ_0000040	chr1	53924487	53953791	0	-	NM_001001883	Hecw2	29304	901	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001001883	Hecw2	Memczak2013	mm9_circ_013054	chr1:53924487-53953791
mmu_circ_0000041	chr1	53943407	53953791	0	-	NM_001001883	Hecw2	10384	566	mm_ES, mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001001883	Hecw2	Memczak2013	mm9_circ_003698	chr1:53943407-53953791
mmu_circ_0000042	chr1	55734903	55741292	0	+	NM_001114663	Plcl1	6389	2679	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001114663	Plcl1	Memczak2013	mm9_circ_003798	chr1:55734903-55741292
mmu_circ_0000043	chr1	57939792	57962583	0	+	NM_001164566	Spats2l	22791	402	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001164566	Spats2l	Memczak2013	mm9_circ_004372	chr1:57939792-57962583
mmu_circ_0000044	chr1	63187554	63187730	0	-	NM_145518	Ndufs1	176	176	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_145518	Ndufs1	Memczak2013	mm9_circ_014268	chr1:63187554-63187730
mmu_circ_0000045	chr1	63216934	63217635	0	-	NM_018796	Eef1b2	701	701	mm_ES, mm_head	None	ANTISENSE, CDS, coding, INTERNAL	NM_018796	Eef1b2	Memczak2013	mm9_circ_009700	chr1:63216934-63217635
mmu_circ_0000046	chr1	64590007	64615488	0	+	NM_009952	Creb1	25481	889	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_009952	Creb1	Memczak2013, Wang2012	mm9_circ_013998	chr1:64590007-64615488
mmu_circ_0000047	chr1	66511134	66530290	0	+	NM_175510	Unc80	19156	800	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_175510	Unc80	Memczak2013	mm9_circ_000661	chr1:66511134-66530290
mmu_circ_0000048	chr1	66812064	66841327	0	-	NM_177645	1110028C15Rik	29263	1582	mm_head, mm_brain2, C2C12-control-cyto, C2C12-control-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_177645	1110028C15Rik	Memczak2013, Wang2012	mm9_circ_016338	chr1:66812064-66841327
mmu_circ_0000049	chr1	66840207	66846763	0	-	NM_001122738	1110028C15Rik	6556	6556	mm_head	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, UTR5	NM_001122738	1110028C15Rik	Memczak2013	mm9_circ_000550	chr1:66840207-66846763
mmu_circ_0000050	chr1	68289738	68298472	0	-	NM_010154	Erbb4	8734	355	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_010154	Erbb4	Memczak2013	mm9_circ_004519	chr1:68289738-68298472
mmu_circ_0000051	chr1	75006658	75008071	0	-	NM_029342	Nhej1	1413	494	mm_ES, mm_head	None	ALT_DONOR, CDS, coding, INTERNAL, UTR3	NM_029342	Nhej1	Memczak2013	mm9_circ_005995	chr1:75006658-75008071
mmu_circ_0000052	chr1	75171484	75173313	0	+	NM_026187	Ankzf1	1829	943	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_026187	Ankzf1	Memczak2013	mm9_circ_015463	chr1:75171484-75173313
mmu_circ_0000053	chr1	75473651	75490926	0	-	NM_178884	Obsl1	17275	11011	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_178884	Obsl1	Memczak2013, Wang2012	mm9_circ_016902	chr1:75473651-75490926
mmu_circ_0000054	chr1	78665953	78668095	0	+	NM_028817	Acsl3	2142	288	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_028817	Acsl3	Memczak2013	mm9_circ_004414	chr1:78665953-78668095
mmu_circ_0000055	chr1	80593008	80626049	0	-	NM_175291	Dock10	33041	293	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_175291	Dock10	Memczak2013	mm9_circ_013079	chr1:80593008-80626049
mmu_circ_0000056	chr1	85822313	85822372	0	+	NM_022417	Itm2c	59	59	mm_ES	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR5	NM_022417	Itm2c	Memczak2013	mm9_circ_002943	chr1:85822313-85822372
mmu_circ_0000057	chr1	87291825	87307730	0	+	NM_146112	Gigyf2	15905	494	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-ins, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_146112	Gigyf2	Memczak2013, Wang2012	mm9_circ_010385	chr1:87291825-87307730
mmu_circ_0000058	chr1	87808089	87809661	0	+	NM_177646	Dgkd	1572	192	mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_177646	Dgkd	Memczak2013, Wang2012	mm9_circ_011975	chr1:87808089-87809661
mmu_circ_0000059	chr1	89532319	89562016	0	+	NM_001037136	Agap1	29697	510	mm_head, mm_brain2, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001037136	Agap1	Memczak2013, Wang2012	mm9_circ_012296	chr1:89532319-89562016
mmu_circ_0000060	chr1	89555482	89562016	0	+	NM_001037136	Agap1	6534	363	mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001037136	Agap1	Memczak2013	mm9_circ_017649	chr1:89555482-89562016
mmu_circ_0000061	chr1	89591382	89598993	0	+	NM_001037136	Agap1	7611	377	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_001037136	Agap1	Memczak2013	mm9_circ_016400	chr1:89591382-89598993
mmu_circ_0000062	chr1	91312286	91313068	0	-	NM_023343	Ilkap	782	201	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_023343	Ilkap	Memczak2013	mm9_circ_010373	chr1:91312286-91313068
